group_id,time,value
10,660,1,-0.018628
10,661,1,-0.009724
10,662,1,-0.010668
10,663,1,-0.019316
10,664,1,-0.026225
10,665,1,-0.035612
10,666,1,-0.022612
10,667,1,-0.017358
10,668,1,-0.013811
10,669,1,-0.012532
10,670,1,-0.0170729999999999
10,671,1,-0.023074
10,672,1,-0.02047
10,673,1,-0.015725
10,674,1,-0.012478
10,675,1,-0.015733
10,676,1,-0.013908
10,677,1,-0.01202
10,678,1,-0.018982
10,679,1,-0.013835
10,680,1,-0.016206
10,681,1,-0.0151659999999999
10,682,1,-0.017214
10,683,1,-0.0193069999999999
10,684,1,-0.016138
10,685,1,-0.013815
10,686,1,-0.012117
10,687,1,-0.018162
10,688,1,-0.020381
10,689,1,-0.020173
10,690,1,-0.017084
10,691,1,-0.018563
10,692,1,-0.016621
10,693,1,-0.016964
10,694,1,-0.021328
10,695,1,-0.022525
10,696,1,-0.018361
10,697,1,-0.0077319999999999
10,698,1,-0.009786
10,699,1,-0.014411
10,700,1,-0.0193
10,701,1,-0.021658
10,702,1,-0.0233759999999999
10,703,1,-0.013822
10,704,1,-0.016458
10,705,1,-0.013812
10,706,1,-0.017586
10,707,1,-0.022834
10,708,1,-0.021872
10,709,1,-0.0144139999999999
10,710,1,-0.0055119999999999
10,711,1,-0.011795
10,712,1,-0.016412
10,713,1,-0.019562
10,714,1,-0.023566
10,715,1,-0.022386
10,716,1,-0.020838
10,717,1,-0.011345
10,718,1,-0.019089
10,719,1,-0.019835
10,720,1,-0.020648
10,721,1,-0.016202
10,722,1,-0.015365
10,723,1,-0.014653
10,724,1,-0.022094
10,725,1,-0.025212
10,726,1,-0.023891
10,727,1,-0.0177139999999999
10,728,1,-0.010512
10,729,1,-0.012716
10,730,1,-0.015178
10,731,1,-0.027642
10,732,1,-0.02633
10,733,1,-0.017015
10,734,1,-0.014708
10,735,1,-0.01294
10,736,1,-0.015096
10,737,1,-0.019822
10,738,1,-0.020133
10,739,1,-0.014977
10,740,1,-0.0182729999999999
10,741,1,-0.016654
10,742,1,-0.017533
10,743,1,-0.022785
10,744,1,-0.022985
10,745,1,-0.018169
10,746,1,-0.020115
10,747,1,-0.012176
10,748,1,-0.018162
10,749,1,-0.0218639999999999
10,750,1,-0.020824
10,751,1,-0.0182169999999999
10,752,1,-0.0175889999999999
10,753,1,-0.0138389999999999
10,754,1,-0.018455
10,755,1,-0.018556
10,756,1,-0.016031
10,757,1,-0.017324
10,758,1,-0.01128
10,759,1,-0.0154349999999999
10,760,1,-0.021399
10,761,1,-0.02765
10,762,1,-0.023449
10,763,1,-0.017592
10,764,1,-0.01163
10,765,1,-0.00605
10,766,1,-0.020589
10,767,1,-0.023803
10,768,1,-0.0267379999999999
10,769,1,-0.019608
10,770,1,-0.007944
10,771,1,-0.005155
10,772,1,-0.013775
10,773,1,-0.022193
10,774,1,-0.020036
10,775,1,-0.023022
10,776,1,-0.010084
10,777,1,-0.010316
10,778,1,-0.008319
10,779,1,-0.020072
10,780,1,-0.0270079999999999
10,781,1,-0.021787
10,782,1,-0.018039
10,783,1,-0.007308
10,784,1,-0.010313
10,785,1,-0.0178919999999999
10,786,1,-0.02114
10,787,1,-0.02174
10,788,1,-0.020631
10,789,1,-0.011704
10,790,1,-0.007048
10,791,1,-0.0151389999999999
10,792,1,-0.021362
10,793,1,-0.0235979999999999
10,794,1,-0.020658
10,795,1,-0.021429
10,796,1,-0.0147419999999999
10,797,1,-0.0223139999999999
10,798,1,-0.0130169999999999
10,799,1,-0.014533
10,800,1,-0.016465
10,801,1,-0.007838
10,802,1,-0.0199729999999999
10,803,1,-0.021582
10,804,1,-0.019211
10,805,1,-0.020837
10,806,1,-0.0108609999999999
10,807,1,-0.014599
10,808,1,-0.016735
10,809,1,-0.017369
10,810,1,-0.014901
10,811,1,-0.018363
10,812,1,-0.022056
10,813,1,-0.016399
10,814,1,-0.022631
10,815,1,-0.014253
10,816,1,-0.022808
10,817,1,-0.020955
10,818,1,-0.013122
10,819,1,-0.0120109999999999
10,820,1,-0.015881
10,821,1,-0.017021
10,822,1,-0.022818
10,823,1,-0.020661
10,824,1,-0.012657
10,825,1,-0.008346
10,826,1,-0.01556
10,827,1,-0.016281
10,828,1,-0.026956
10,829,1,-0.020826
10,830,1,-0.020992
10,831,1,-0.006997
10,832,1,-0.012818
10,833,1,-0.01896
10,834,1,-0.0178919999999999
10,835,1,-0.019824
10,836,1,-0.021824
10,837,1,-0.02603
10,838,1,-0.021881
10,839,1,-0.013866
10,840,1,-0.020012
10,841,1,-0.017259
10,842,1,-0.021221
10,843,1,-0.0137729999999999
10,844,1,-0.01524
10,845,1,-0.0185719999999999
10,846,1,-0.0156009999999999
10,847,1,-0.02828
10,848,1,-0.016345
10,849,1,-0.016415
10,850,1,-0.010011
10,851,1,-0.01261
10,852,1,-0.0226889999999999
10,853,1,-0.035684
10,854,1,-0.0156639999999999
10,855,1,-0.005164
10,856,1,-0.021546
10,857,1,-0.016047
10,858,1,-0.0191889999999999
10,859,1,-0.030887
10,860,1,-0.015628
10,861,1,-0.015003
10,862,1,-0.002166
10,863,1,-0.004848
10,864,1,-0.020568
10,865,1,-0.032284
10,866,1,-0.021162
10,867,1,-0.019291
10,868,1,-0.018849
10,869,1,-0.014901
10,870,1,-0.022471
10,871,1,-0.026866
10,872,1,-0.022746
10,873,1,-0.018866
10,874,1,-0.00799
10,875,1,-0.009418
10,876,1,-0.013562
10,877,1,-0.018505
10,878,1,-0.018
10,879,1,-0.014666
10,880,1,-0.014913
10,881,1,-0.015867
10,882,1,-0.023371
10,883,1,-0.024824
10,884,1,-0.018674
10,885,1,-0.016665
10,886,1,-0.0117159999999999
10,887,1,-0.008695
10,888,1,-0.018411
10,889,1,-0.026542
10,890,1,-0.023277
10,891,1,-0.012371
10,892,1,-0.010908
10,893,1,-0.01117
10,894,1,-0.016322
10,895,1,-0.023828
10,896,1,-0.0234389999999999
10,897,1,-0.019957
10,898,1,-0.010692
10,899,1,-0.011677
10,900,1,-0.017391
10,901,1,-0.022948
10,902,1,-0.0261
10,903,1,-0.0230849999999999
10,904,1,-0.016576
10,905,1,-0.007469
10,906,1,-0.016391
10,907,1,-0.018504
10,908,1,-0.017391
10,909,1,-0.018561
10,910,1,-0.009898
10,911,1,-0.008668
10,912,1,-0.007682
10,913,1,-0.01813
10,914,1,-0.027388
10,915,1,-0.024088
10,916,1,-0.019499
10,917,1,-0.021861
10,918,1,-0.020395
10,919,1,-0.022681
10,920,1,-0.017465
10,921,1,-0.017112
10,922,1,-0.016704
10,923,1,-0.006166
10,924,1,-0.019438
10,925,1,-0.018411
10,926,1,-0.0170729999999999
10,927,1,-0.014997
10,928,1,-0.012884
10,929,1,-0.012543
10,930,1,-0.02094
10,931,1,-0.023234
10,932,1,-0.020682
10,933,1,-0.022455
10,934,1,-0.018086
10,935,1,-0.015024
10,936,1,-0.014535
10,937,1,-0.01993
10,938,1,-0.027808
10,939,1,-0.022193
10,940,1,-0.013937
10,941,1,-0.01338
10,942,1,-0.013693
10,943,1,-0.019425
10,944,1,-0.023716
10,945,1,-0.018673
10,946,1,-0.0128729999999999
10,947,1,-0.006124
10,948,1,-0.0124459999999999
10,949,1,-0.02365
10,950,1,-0.026044
10,951,1,-0.02565
10,952,1,-0.023429
10,953,1,-0.013856
10,954,1,-0.018643
10,955,1,-0.022224
10,956,1,-0.019618
10,957,1,-0.020309
10,958,1,-0.015461
10,959,1,-0.012605
10,960,1,-0.008995
10,961,1,-0.014677
10,962,1,-0.022268
10,963,1,-0.024222
10,964,1,-0.021578
10,965,1,-0.013429
10,966,1,-0.020918
10,967,1,-0.017464
10,968,1,-0.025259
10,969,1,-0.0234419999999999
10,970,1,-0.0138199999999999
10,971,1,-0.008819
10,972,1,-0.010092
10,973,1,-0.0153289999999999
10,974,1,-0.02201
10,975,1,-0.019986
10,976,1,-0.015941
10,977,1,-0.01638
10,978,1,-0.01303
10,979,1,-0.016177
10,980,1,-0.0211319999999999
10,981,1,-0.01939
10,982,1,-0.015808
10,983,1,-0.014836
10,984,1,-0.012437
10,985,1,-0.0151849999999999
10,986,1,-0.021957
10,987,1,-0.025673
10,988,1,-0.020227
10,989,1,-0.010394
10,990,1,-0.019117
10,991,1,-0.011573
10,992,1,-0.023486
10,993,1,-0.023456
10,994,1,-0.021797
10,995,1,-0.014482
10,996,1,-0.013181
10,997,1,-0.013275
10,998,1,-0.025179
10,999,1,-0.021241
10,1000,1,-0.014339
10,1001,1,-0.011831
10,1002,1,-0.014512
10,1003,1,-0.013515
10,1004,1,-0.0187139999999999
10,1005,1,-0.018665
10,1006,1,-0.018822
10,1007,1,-0.012872
10,1008,1,-0.012214
10,1009,1,-0.010847
10,1010,1,-0.021041
10,1011,1,-0.024335
10,1012,1,-0.020568
10,1013,1,-0.016395
10,1014,1,-0.012883
10,1015,1,-0.016277
10,1016,1,-0.0232
10,1017,1,-0.018917
10,1018,1,-0.023725
10,1019,1,-0.019127
10,1020,1,-0.010034
10,1021,1,-0.011182
10,1022,1,-0.0200039999999999
10,1023,1,-0.023594
10,1024,1,-0.022604
10,1025,1,-0.020771
10,1026,1,-0.011871
10,1027,1,-0.0113879999999999
10,1028,1,-0.018483
10,1029,1,-0.020963
10,1030,1,-0.023627
10,1031,1,-0.018418
10,1032,1,-0.011035
10,1033,1,-0.009585
10,1034,1,-0.013462
10,1035,1,-0.022213
10,1036,1,-0.024384
10,1037,1,-0.016547
10,1038,1,-0.016031
10,1039,1,-0.0163689999999999
10,1040,1,-0.017143
10,1041,1,-0.021912
10,1042,1,-0.021274
10,1043,1,-0.022083
10,1044,1,-0.0138389999999999
10,1045,1,-0.013347
10,1046,1,-0.018175
10,1047,1,-0.019608
10,1048,1,-0.017011
10,1049,1,-0.016458
10,1050,1,-0.014122
10,1051,1,-0.010667
10,1052,1,-0.020166
10,1053,1,-0.023046
10,1054,1,-0.0238449999999999
10,1055,1,-0.022728
10,1056,1,-0.018639
10,1057,1,-0.0182319999999999
10,1058,1,-0.018052
10,1059,1,-0.020408
10,1060,1,-0.018569
10,1061,1,-0.019508
10,1062,1,-0.005509
10,1063,1,-0.012837
10,1064,1,-0.0136699999999999
10,1065,1,-0.02267
10,1066,1,-0.029146
10,1067,1,-0.0247949999999999
10,1068,1,-0.019908
10,1069,1,-0.005313
10,1070,1,-0.014676
10,1071,1,-0.021312
10,1072,1,-0.022885
10,1073,1,-0.024166
10,1074,1,-0.019099
10,1075,1,-0.01413
10,1076,1,-0.019387
10,1077,1,-0.022847
10,1078,1,-0.026273
10,1079,1,-0.02449
10,1080,1,-0.010371
10,1081,1,-0.0034439999999999
10,1082,1,0.004255
10,1083,1,-0.01483
10,1084,1,-0.014563
10,1085,1,-0.030938
10,1086,1,-0.012889
10,1087,1,-0.011327
10,1088,1,-0.024421
10,1089,1,-0.018283
10,1090,1,-0.029831
10,1091,1,-0.0298339999999999
10,1092,1,-0.010651
10,1093,1,-0.004768
