TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
10738,1832.673391,0.50301982,1.625899956,0.503209042,40.87478643,1.727523413,0.309895867,0,100
10739,1826.950712,0.502599465,1.615309871,0.499654459,40.93340025,1.729770205,0,0.162100719,100
10740,1830.214817,0.501555659,1.624810286,0.500933724,41.14506646,1.731659669,0.621808027,0,100
10741,1831.152654,0.500967174,1.626387208,0.500551515,40.89132674,1.733348041,0.335234318,0,100
10742,1830.486432,0.500421921,1.624470812,0.501570828,40.79788633,1.734844398,0.416286972,0,100
10743,1821.631134,0.500191274,1.607900849,0.50039711,40.6527917,1.736639332,0.183398503,0,100
10744,1818.513414,0.499781904,1.606998161,0.501464956,40.85360521,1.738311663,0.439432394,0,100
10745,1821.242106,0.499663273,1.616444917,0.501075651,41.0280444,1.739866793,0.196448885,0,100
10746,1825.121814,0.499484275,1.624399104,0.500372561,41.27446833,1.740983083,0.276180076,0,100
10747,1824.090899,0.499198443,1.620495174,0.499910228,41.09639157,1.742212984,0.428810784,0,100
10748,1829.587891,0.498882244,1.63059724,0.502617985,41.18705635,1.743623799,0.531017686,0,100
10749,1828.154116,0.499163311,1.624567656,0.498967999,41.44103805,1.745061668,0,0.079087759,100
10750,1828.038959,0.49866508,1.623436804,0.49819847,41.49788561,1.746264407,0.729585284,0,100
10751,1821.231679,0.498111407,1.610216686,0.500336629,41.61166121,1.747702432,0.908790029,0,100
10752,1819.413344,0.498104103,1.610448154,0.499601931,41.69876801,1.748823289,0.436543539,0,100
10753,1810.114866,0.497946977,1.595934399,0.499755259,41.6903367,1.749936525,0.600366486,0,100
10754,1804.437856,0.497861281,1.591935139,0.502126477,41.62314697,1.750682797,0.567980502,0,100
10755,1805.177437,0.498264872,1.599837242,0.502219809,41.86712614,1.751531351,0.034616841,0,100
10756,1802.049417,0.498600097,1.596834734,0.504177057,41.91594045,1.751959434,0.001874883,0,100
10757,1798.133263,0.499264151,1.59274754,0.506228977,41.63862111,1.752397343,0,0.45169346,100
10758,1794.101715,0.500207435,1.589082394,0.506161715,41.80235381,1.753017828,0,0.937375374,100
10759,1781.440663,0.500949652,1.570040967,0.507508217,42.13060286,1.753415678,0,0.956467166,100
10760,1783.08106,0.501823936,1.582081604,0.504704766,42.25158481,1.753689638,0,1.293992725,100
10761,1788.936057,0.501948671,1.596551016,0.503231066,42.18377916,1.753862405,0,0.70310982,100
10762,1804.399439,0.50174835,1.624364592,0.50287599,42.16459348,1.753526595,0,0.396666556,100
10763,1808.973643,0.501504256,1.623297153,0.504668502,42.26156128,1.753645661,0,0.33436787,100
10764,1807.16204,0.501676777,1.612484493,0.502684594,41.90367032,1.753907428,0,0.7543972,100
10765,1809.479806,0.501424503,1.614124118,0.501650447,41.77765873,1.754618513,0,0.332702732,100
10766,1807.292527,0.501011395,1.607325501,0.502828801,41.40867733,1.754932232,0,0.114267866,100
10767,1804.233588,0.500921403,1.601506427,0.505648335,41.4044848,1.754939289,0,0.389064216,100
10768,1800.229169,0.501414858,1.595759139,0.504164324,41.30954902,1.755059234,0,1.040427357,100
10769,1796.516876,0.501514636,1.591913031,0.499994011,41.18834953,1.754942972,0,0.736848865,100
10770,1789.2859,0.50076102,1.582062211,0.499492491,41.20570589,1.754706249,0.180653048,0,100
10771,1792.222137,0.500062942,1.593282726,0.504846857,41.26988316,1.75432657,0.293778614,0,100
10772,1786.02368,0.500564988,1.583162218,0.504817795,41.23579423,1.753847628,0,0.910839632,100
10773,1778.085547,0.500970907,1.572669183,0.504086134,41.44868194,1.753104964,0,0.930943733,100
10774,1770.467082,0.501152851,1.565111239,0.501913997,41.43227288,1.75269498,0,0.792452,100
10775,1763.74105,0.500865494,1.560148356,0.500179232,41.20398756,1.75183376,0,0.325108896,100
10776,1762.755779,0.500289433,1.565618309,0.50000643,41.46241821,1.750754838,0.055553509,0,100
10777,1768.121239,0.499788825,1.579698774,0.499742155,41.47155975,1.749527924,0.093534767,0,100
10778,1770.432549,0.499328169,1.583058315,0.497979716,41.37160536,1.748180122,0.153093204,0,100
10779,1768.517394,0.498609516,1.577775581,0.496966167,41.48207685,1.746944907,0.551941347,0,100
10780,1776.508023,0.497836383,1.592779996,0.498669613,41.15304767,1.745912447,0.791608207,0,100
10781,1784.560911,0.497547251,1.603445067,0.497384937,41.14579479,1.744717111,0.424167414,0,100
10782,1792.971445,0.497057011,1.612478153,0.49522829,41.39523412,1.743276052,0.721178979,0,100
10783,1793.464599,0.496231163,1.60521335,0.496956942,41.20851684,1.7421982,1.221885597,0,100
10784,1794.736734,0.495923666,1.603255262,0.493856862,41.05093768,1.741136382,0.858319021,0,100
10785,1786.348097,0.495056585,1.584846512,0.496845671,41.14544652,1.740112676,1.574123872,0,100
10786,1783.236407,0.494971908,1.582293261,0.499780318,41.22035579,1.738742625,0.933934761,0,100
10787,1779.492205,0.495486779,1.578770422,0.500118398,41.02736606,1.737353778,0.289520676,0,100
10788,1779.51828,0.495967745,1.582581037,0.500918659,40.8604294,1.735473184,0.21449193,0,100
10789,1787.415903,0.496508973,1.599234779,0.5006327,40.7961921,1.733688974,0.033381681,0,100
10790,1796.931582,0.496875382,1.613628301,0.50099067,40.81784474,1.731784512,0.092812917,0,100
10791,1805.932449,0.497236298,1.623484696,0.499308592,40.73504389,1.729954114,0.008610803,0,100
10792,1813.247229,0.497186957,1.628597442,0.501278558,40.85936778,1.72843185,0.382470673,0,100
10793,1828.190216,0.497541363,1.648819719,0.500433278,40.85053248,1.727013187,0,0.057953804,100
10794,1842.838345,0.497644969,1.664219267,0.500452836,41.03528491,1.725625871,0.125624613,0,100
10795,1848.889951,0.497728561,1.660801442,0.500374092,40.69638461,1.724210424,0.118831329,0,100
10796,1854.979581,0.497786446,1.661525349,0.500442086,40.94683454,1.723188046,0.134097454,0,100
10797,1856.975828,0.497844866,1.656293352,0.501213546,40.81951165,1.722278846,0.116707317,0,100
10798,1853.861969,0.498049321,1.644617921,0.497477652,40.6272823,1.721098756,0,0.059688271,100
10799,1853.011577,0.497471312,1.641853204,0.499099688,40.49653672,1.719959664,0.776081261,0,100
