TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
12480,17345.22968,0.473193379,1.498204022,0.49587595,40.4679866,43.19354507,1.130458435,0,43.63721616
12481,17463.55905,0.473211435,1.507565979,0.495926912,40.7170315,43.24699068,1.265708328,0,43.48222139
12482,17633.99821,0.473229805,1.525160772,0.49570517,40.826531,43.3036249,1.276898632,0,43.23294285
12483,17860.96361,0.473124009,1.551670021,0.494045523,41.00971896,43.36384188,1.349303463,0,46.20669654
12484,17882.10397,0.47260015,1.539478894,0.493391458,41.00508778,43.42441766,1.74717557,0,46.30841732
12485,17840.92594,0.472251263,1.526746989,0.492960676,40.80065245,43.48805718,1.927416794,0,46.5124829
12486,18065.74776,0.471648923,1.525649306,0.493925157,40.64722639,43.55610053,2.060905125,0,46.27656013
12487,18373.84059,0.471310384,1.544265282,0.496097575,40.91455392,43.61665598,1.882130932,0,45.88768581
12488,18741.95663,0.471311545,1.570932688,0.497202005,40.99418361,43.68651601,1.425662372,0,45.37921492
12489,19063.10303,0.47143145,1.591861216,0.498628986,40.92917308,43.75880394,1.198076704,0,44.92534208
12490,19319.82945,0.471798894,1.607690472,0.497147389,40.37484402,43.83804056,0.891681302,0,44.55811072
12491,19475.59172,0.471811786,1.614231449,0.495658695,40.70185279,43.92215857,1.233322013,0,44.34245323
12492,19621.57939,0.471580743,1.627841691,0.495691186,40.83418876,44.00784336,1.584711891,0,44.13309187
12493,19781.64132,0.471370829,1.648049154,0.49696818,40.77147811,44.09392528,1.601262494,0,43.89096775
12494,19822.97096,0.471392566,1.645740469,0.49801225,40.85370746,44.17874285,1.336998746,0,43.83617017
12495,19806.28448,0.471722521,1.638748891,0.498939611,40.54073761,44.2656383,1.11823606,0,43.87526634
12496,19706.02908,0.47223593,1.623414039,0.501359689,40.44724459,44.35600347,0.920048797,0,44.05448911
12497,19652.92798,0.473215427,1.621469392,0.502794699,40.4321415,44.44331568,0.380153298,0,44.16166348
12498,19496.58928,0.474243634,1.599986462,0.502186748,40.67180867,44.52895924,0.049080286,0,44.44402369
12499,19407.48608,0.475065686,1.592952875,0.502128628,40.85360942,44.61199437,0.170802357,0,44.6245097
